RateRatio,CPIRatio,GDPRatio,PMIRatio,UnemployRatio,US-M2,Gold/Euro,US International Trade,NASDAQ,US TREASURY EURODOLLAR SPREAD,Crude Oil Future,Baltic Dry Index,Copper Future,Housing Starts,FTSE EUROTOP 100 index,Date,lagSpot
-0.552073684,0.363222342,1.246208584,-0.228098604,0.061372134,0.007209599,-1.05330037,0.036255784,1.414925412,-1.05383724,-0.365148439,0.141412791,0.144481501,0.754226735,1.138780807,2021/11/3,1.1556
-0.552073684,0.363222342,1.246208584,-0.228098604,0.061372134,0.007209599,-0.860021179,0.036255784,1.300176846,-0.858665868,-0.174812083,0.448368798,0.275937807,0.754226735,1.050890307,2021/11/2,1.1614
-0.552073684,0.363222342,1.246208584,-0.228098604,0.061372134,0.007209599,-0.849422619,0.036255784,1.262143861,-0.845834533,-0.166075332,0.699136249,0.352620653,0.754226735,1.058982629,2021/11/1,1.1581
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-0.874666462,0.963181878,1.193054996,-0.875549205,-0.196029906,0.793824373,0.280045817,-0.546545877,0.894672001,2021/10/29,1.161
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-0.89923585,0.963181878,1.157443348,-0.898703495,-0.243457982,0.909323074,0.449843546,-0.546545877,1.006268805,2021/10/28,1.1565
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-0.819650301,0.963181878,1.00706259,-0.817084622,-0.252818786,1.094537208,0.311540557,-0.546545877,0.867170867,2021/10/27,1.1683
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-0.839402163,0.963181878,1.006975455,-0.836090435,-0.128632114,1.35258836,0.584038525,-0.546545877,0.906553724,2021/10/26,1.1608
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-0.731104152,0.963181878,1.000593412,-0.730545463,-0.184172887,1.561734657,0.762052273,-0.546545877,0.810472318,2021/10/25,1.1598
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-0.904727831,0.963181878,0.903891528,-0.905070925,-0.184172887,1.720935569,0.69221611,-0.546545877,0.846512504,2021/10/22,1.161
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-0.956949826,0.963181878,0.992796678,-0.956589221,-0.262803644,1.973784077,0.85790583,-0.546545877,0.739048806,2021/10/21,1.1651
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-0.997417054,0.963181878,0.926190782,-0.997881038,-0.177308297,2.075755904,1.322110911,-0.546545877,0.803351875,2021/10/20,1.1625
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-1.084132544,0.963181878,0.931441499,-1.081911817,-0.234097177,2.037256337,1.207086643,-0.546545877,0.727962427,2021/10/19,1.1653
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-1.091936938,0.963181878,0.855442827,-1.091655914,-0.266547966,2.055985856,1.252274748,-0.546545877,0.665313408,2021/10/18,1.1636
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-1.055323731,0.963181878,0.767268045,-1.05229362,-0.276532824,2.182930374,1.261860104,-0.546545877,0.736175995,2021/10/15,1.1613
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-0.814736424,0.963181878,0.714908934,-0.814383288,-0.337066026,2.399360373,0.981146117,-0.546545877,0.611601152,2021/10/14,1.1604
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-0.818590445,0.963181878,0.536536159,-0.830494815,-0.391358691,2.549196526,0.677153409,-0.546545877,0.425441182,2021/10/13,1.1598
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-1.026996671,0.963181878,0.461650395,-1.027595711,-0.378877619,2.728167486,0.15269752,-0.546545877,0.260809751,2021/10/12,1.1594
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-1.106774921,0.963181878,0.476013359,-1.10574144,-0.386366262,2.842625658,0.277307144,-0.546545877,0.323487599,2021/10/11,1.1531
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-1.103691704,0.963181878,0.542133996,-1.105162583,-0.459380537,2.882165754,0.02671856,-0.546545877,0.304057584,2021/10/8,1.1553
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-1.095309207,0.963181878,0.594895483,-1.093971343,-0.524906168,3.01119133,-0.060918977,-0.546545877,0.320058387,2021/10/7,1.1571
